683
    503408.987	Anabolic
    213533.042	rheumatoid
    451646.388	obnoxious
    459857.993	fairly
     462141.28	institutionalism
    489057.237	eyelids
    868450.081	Trusts
    724372.381	bespattered
    965255.891	acolyte
    258997.926	enable
    882888.262	hurt
    161724.132	Jilting
    240308.753	day
    114335.503	disorientated
     78332.934	bristle
    508750.384	jackass
    689871.034	recogniser
    299872.138	inkwell
    584159.523	boots
     29454.947	Variation
    883372.944	passersby
    938815.306	douse
    667419.784	cajole
    292863.678	belittled
    380370.761	prospectus
    323638.169	throwaway
    135192.125	transfigured
    230224.943	parameters
    677865.505	waxen
    985545.483	Inexpensively
    654051.428	Sexiness
    481095.499	Nylon
    476342.337	inculcated
     20707.978	counterfeiting
    518262.327	seven
     81054.583	leaf
    208443.417	chestnut
    308031.611	wellfed
    183398.872	confronting
    963463.364	Begat
    107954.246	unsweetened
     48902.775	stonily
    319816.541	professionalisation
    813233.933	girder
    886208.623	Accumulations
    400296.088	tangent
      2150.066	revoker
    986729.917	trilateral
     18343.574	lioness
     844064.39	particularised
    289250.604	Abstentions
    865518.858	classifications
    605018.576	proximate
    718080.128	mythical
     115625.23	Remission
    905742.331	Accelerometer
    865301.753	lurk
    670513.397	articulations
    822007.329	Chats
     36204.039	brighton
    788526.931	Popularly
    719909.663	lacquered
    143147.151	wheatears
    512969.728	firemen
    289102.171	informality
    184983.474	cholera
    739705.505	caked
    397197.716	frolicked
    419512.959	Poop
     17697.768	Credibility
    180104.158	selfconscious
    212286.521	Amuse
    975406.693	acid
    979427.371	shambled
    740770.804	Postmen
     534027.63	Modernised
    253600.398	hospitably
    191730.999	erotically
     99810.696	hoverer
    524300.095	guidance
    966291.919	Crickets
     448869.65	adulteration
    198634.341	leased
    111005.919	boarders
    346636.693	Raiment
    885356.031	Oedipus
    626875.437	waddling
    573981.317	Incarceration
     52519.228	grasshoppers
    374492.641	misplacing
    715921.395	channelling
    513427.111	Spaniel
    634565.905	Hall
    814321.498	Grilled
    257009.892	Forgiving
    428430.401	undisplayed
    216118.678	musically
    365352.551	aperture
    710544.743	restore
    874279.289	Kerosene
    129790.429	trilogies
    439588.496	Carter
    834302.954	ailments
    849391.703	Epidemiologist
    624155.667	aborigines
    535317.352	modularising
    679805.118	unavailing
    648222.787	erection
    531519.689	cloudiest
    856130.266	cloves
    587109.104	renunciation
    353991.145	Lessee
    609974.866	Oil
     67282.858	zenith
    264868.141	distributive
    490506.132	wakened
    371790.069	liftmen
    455175.633	contingently
    701215.326	elliptical
    556408.939	Pasties
     26291.002	Instinctual
    800895.794	baleen
      488277.6	gingerbread
    139122.634	unoriginality
     78901.029	handcart
    810114.439	bullying
    122869.093	inquisitorial
    689768.934	Uturns
    541227.501	horsemen
     44849.454	intemperance
    373437.286	combed
    308118.969	quarrying
    964141.882	corrective
    985831.271	secrecy
    915737.433	Resuscitate
    480852.803	governess
     19189.871	Centrally
    200166.612	foresters
    732160.936	argues
    734212.566	padlocking
    458687.425	amuse
    774365.023	indeclinable
    467172.071	untangled
    396971.473	luxuries
    243214.047	sustain
    761572.062	hologram
    612991.556	rearms
    477054.945	fuller
    143583.626	rheumatic
    400133.393	phenols
    942439.019	intermixed
    908346.909	Evergreens
